source,setting,n_clusters,n_noise,silhouette,davies_bouldin,calinski_harabasz,nmi_vs_cat34,ari_vs_cat34,va_spread
brain.brain_jepa,agglomerative_ward_K10,10,0,0.03144524618983269,2.5096534746059826,142.2081383625595,0.053204010355365206,0.009236741184944096,1.4020593166351318
brain.brain_jepa,agglomerative_ward_K11,11,0,0.032961152493953705,2.6202452443287814,134.35121729806738,0.0605893228631651,0.009873762360274204,1.4033417701721191
brain.brain_jepa,agglomerative_ward_K12,12,0,0.03174036368727684,2.6000843913728855,127.64275543373103,0.06440913731435051,0.011009460114218793,1.3871769905090332
brain.brain_jepa,agglomerative_ward_K13,13,0,0.03175431862473488,2.661124834632727,121.53357151764332,0.06652105235409866,0.011602846872039345,1.3867523670196533
brain.brain_jepa,agglomerative_ward_K14,14,0,0.03186502680182457,2.6565984328446355,115.83732787794361,0.06900341212035291,0.009625489659340214,1.3891353607177734
brain.brain_jepa,agglomerative_ward_K15,15,0,0.03429706022143364,2.643254033608953,111.01094605316577,0.07124062628261052,0.009013404966799742,1.3844406604766846
brain.brain_jepa,agglomerative_ward_K16,16,0,0.034213341772556305,2.668810428835874,106.73752769160875,0.07328812663815999,0.010290944775142322,1.3850278854370117
brain.brain_jepa,agglomerative_ward_K17,17,0,0.03279954195022583,2.6342207833828537,102.99564498949303,0.07589126079262538,0.010653584004892136,1.384709358215332
brain.brain_jepa,agglomerative_ward_K18,18,0,0.034489624202251434,2.5273240909174994,99.61588977735687,0.07722455039703786,0.010450321271996178,1.3730062246322632
brain.brain_jepa,agglomerative_ward_K19,19,0,0.028107019141316414,2.503131858511156,96.39148496461232,0.07920526785688699,0.010734063580459134,1.3740826845169067
brain.brain_jepa,agglomerative_ward_K2,2,0,0.11555519700050354,2.719313819104905,271.0729887309018,0.020816269273626852,0.0052404766987024535,1.4292187690734863
brain.brain_jepa,agglomerative_ward_K20,20,0,0.030399514362215996,2.5330501478031193,93.53209095346017,0.08167969561488375,0.010714136218748987,1.3769911527633667
brain.brain_jepa,agglomerative_ward_K21,21,0,0.030487971380352974,2.495632592894833,90.99261900902543,0.08353319669257059,0.010987051323499246,1.3733757734298706
brain.brain_jepa,agglomerative_ward_K22,22,0,0.031996775418519974,2.463115693092863,88.70012902851282,0.0845823460128447,0.009642556488275581,1.3795148134231567
brain.brain_jepa,agglomerative_ward_K23,23,0,0.0326417051255703,2.464959254529923,86.27466083034088,0.08775840947252825,0.010599295436666501,1.3714511394500732
brain.brain_jepa,agglomerative_ward_K24,24,0,0.030546559020876884,2.502999698111577,84.06523420566879,0.09012497740377232,0.008971789259761161,1.368086338043213
brain.brain_jepa,agglomerative_ward_K25,25,0,0.031761836260557175,2.4442296384231406,82.05665005428371,0.09068113866138383,0.008872888999491143,1.344516396522522
brain.brain_jepa,agglomerative_ward_K26,26,0,0.030736105516552925,2.4817885676716553,79.96647867592941,0.09214744083091721,0.009015136755504227,1.3473238945007324
brain.brain_jepa,agglomerative_ward_K27,27,0,0.02678707428276539,2.4758050056248693,78.04775733124686,0.0945401093842491,0.008355028405653645,1.343475580215454
brain.brain_jepa,agglomerative_ward_K28,28,0,0.02703201211988926,2.4673644472373093,76.2526462583738,0.0972399148638198,0.008712821021569391,1.346524953842163
brain.brain_jepa,agglomerative_ward_K29,29,0,0.02730407752096653,2.454121432819569,74.54579798296157,0.09974311605580795,0.007340928397255557,1.3481261730194092
brain.brain_jepa,agglomerative_ward_K3,3,0,0.10070295631885529,2.3118115398082857,255.2739195087693,0.028606995064497313,0.01218276565163484,1.4001997709274292
brain.brain_jepa,agglomerative_ward_K30,30,0,0.02836250327527523,2.443765560665965,72.89149802016296,0.10161630970362812,0.007191237351577581,1.3441535234451294
brain.brain_jepa,agglomerative_ward_K31,31,0,0.028807837516069412,2.4628142368541313,71.32568818826167,0.10363408724680782,0.007157202922191059,1.3374803066253662
brain.brain_jepa,agglomerative_ward_K32,32,0,0.028736568987369537,2.4959248793522884,69.85731038476979,0.10509802810463256,0.00716767894490722,1.3355611562728882
brain.brain_jepa,agglomerative_ward_K33,33,0,0.030286911875009537,2.4961468853038675,68.44848930753419,0.10772038972089765,0.0074610066260612255,1.3400055170059204
brain.brain_jepa,agglomerative_ward_K34,34,0,0.030054517090320587,2.498269928512997,67.11096525485493,0.10924984194805867,0.0076656455705064784,1.340714454650879
brain.brain_jepa,agglomerative_ward_K35,35,0,0.028764430433511734,2.4931185937238634,65.84289065474847,0.11069556463775376,0.007685970882446769,1.3361600637435913
brain.brain_jepa,agglomerative_ward_K36,36,0,0.028595518320798874,2.4952587572359044,64.63201391108213,0.1116632483310253,0.007970857278025842,1.3376067876815796
brain.brain_jepa,agglomerative_ward_K37,37,0,0.028249870985746384,2.482516453021827,63.48849232241638,0.11240211137482016,0.007047335494696447,1.3434975147247314
brain.brain_jepa,agglomerative_ward_K38,38,0,0.028237080201506615,2.493571003572891,62.37440651037568,0.11343795567311582,0.006450084640982232,1.3444900512695312
brain.brain_jepa,agglomerative_ward_K39,39,0,0.029568985104560852,2.4927791806850483,61.31005560221218,0.11455459914957346,0.006602210158847664,1.3456339836120605
brain.brain_jepa,agglomerative_ward_K4,4,0,0.1043432205915451,2.2185693983855637,228.20903378667353,0.03760335147174891,0.014657370724543201,1.4126455783843994
brain.brain_jepa,agglomerative_ward_K40,40,0,0.02948232740163803,2.4656548724087286,60.290212296825764,0.11784826978407796,0.0069015981786493584,1.3440709114074707
brain.brain_jepa,agglomerative_ward_K41,41,0,0.029883526265621185,2.445383889498265,59.31982485021413,0.1199047487443481,0.006539293734038005,1.3423819541931152
brain.brain_jepa,agglomerative_ward_K42,42,0,0.029580436646938324,2.428473115847381,58.39095845378571,0.12195097255828669,0.006117843861032672,1.341591477394104
brain.brain_jepa,agglomerative_ward_K43,43,0,0.028091562911868095,2.449761440095557,57.50537045066509,0.12334129907735028,0.005808667718736741,1.3402082920074463
brain.brain_jepa,agglomerative_ward_K44,44,0,0.028055740520358086,2.420498172218007,56.66477059336284,0.12422502063308248,0.005750633880466438,1.3390761613845825
brain.brain_jepa,agglomerative_ward_K45,45,0,0.028763366863131523,2.429491249528404,55.85867973645077,0.12555142737597097,0.0057419942220474,1.3389371633529663
brain.brain_jepa,agglomerative_ward_K46,46,0,0.028925810009241104,2.4309810210449316,55.08938706795728,0.1270643748931678,0.005796548891095572,1.3421822786331177
brain.brain_jepa,agglomerative_ward_K47,47,0,0.027719859033823013,2.4388925689301457,54.35682412100431,0.12840105321124368,0.005870042771763718,1.3406089544296265
brain.brain_jepa,agglomerative_ward_K48,48,0,0.028542988002300262,2.415064344359642,53.658678460503324,0.12910558294846236,0.005795355017058608,1.3303076028823853
brain.brain_jepa,agglomerative_ward_K49,49,0,0.027622327208518982,2.411227809844698,52.96322506576341,0.13112561896486938,0.005386483118936938,1.3305494785308838
brain.brain_jepa,agglomerative_ward_K5,5,0,0.09022217243909836,2.2059029177261196,212.1493389511987,0.040005337543642355,0.01276481971212396,1.414549469947815
brain.brain_jepa,agglomerative_ward_K50,50,0,0.028480209410190582,2.412278806885252,52.298530567632035,0.1330528270315947,0.005838745840054569,1.3319746255874634
brain.brain_jepa,agglomerative_ward_K6,6,0,0.053749941289424896,2.5470830600811287,194.20318302927467,0.0433978973295768,0.013122799276706391,1.4109944105148315
brain.brain_jepa,agglomerative_ward_K7,7,0,0.053128231316804886,2.4370525600304274,175.74671898064383,0.04610546280091323,0.013296717969930871,1.4190597534179688
brain.brain_jepa,agglomerative_ward_K8,8,0,0.04461916536092758,2.469310054678792,163.08845544628045,0.04878985659120049,0.011111646886780097,1.4172708988189697
brain.brain_jepa,agglomerative_ward_K9,9,0,0.028591345995664597,2.518890208796096,151.39114570069472,0.05050143380616686,0.00957124104695819,1.4097989797592163
brain.brain_jepa,gmm_K10,10,0,-0.03632547706365585,3.393164519781893,82.63073763489665,0.06216347950994384,0.01251532915379349,1.399227261543274
brain.brain_jepa,gmm_K11,11,0,-0.031050169840455055,3.475558056139739,74.43776369117712,0.06222825674031234,0.005998611296468083,1.4024885892868042
brain.brain_jepa,gmm_K12,12,0,-0.016300903633236885,3.45928900476448,83.7761002174951,0.070086320467794,0.01428960599985346,1.4120367765426636
brain.brain_jepa,gmm_K13,13,0,-0.03428007662296295,3.2253688838258134,73.05221743851051,0.06302744155968033,0.00494539529368515,1.4072716236114502
brain.brain_jepa,gmm_K14,14,0,-0.02843393385410309,3.1035426509490613,76.11260521143143,0.06615314959980811,0.00658658933146119,1.4081274271011353
brain.brain_jepa,gmm_K15,15,0,-0.022854899987578392,3.4802597261412163,78.10328291555442,0.07040698741368852,0.010585667970751125,1.4036961793899536
brain.brain_jepa,gmm_K16,16,0,-0.019397104158997536,3.0941827825919077,76.78165991497423,0.07467858525322746,0.008435889010475168,1.4159455299377441
brain.brain_jepa,gmm_K17,17,0,-0.008937034755945206,3.0889245666979908,76.28507166369738,0.07895565094568112,0.011515579235691556,1.4010494947433472
brain.brain_jepa,gmm_K18,18,0,-0.014336501248180866,3.462451822010608,73.82925989933986,0.08156712009167792,0.00995921217176696,1.4033712148666382
brain.brain_jepa,gmm_K19,19,0,-0.014776921831071377,3.115167168151828,72.08724621092033,0.08271010937278746,0.009327793773813759,1.4075528383255005
brain.brain_jepa,gmm_K2,2,0,0.13977636396884918,3.4252795680945995,164.23400757927848,0.011783693747084838,0.007972374892879922,1.4468382596969604
brain.brain_jepa,gmm_K20,20,0,-0.019188297912478447,3.05035661138207,65.8782998628187,0.08433200893029823,0.009467990385427954,1.4002259969711304
brain.brain_jepa,gmm_K21,21,0,-0.0037293776404112577,2.894016353485689,70.4875709877787,0.08719519760751583,0.00941725668234259,1.3877760171890259
