setting,video,brain,nmi,ari,n_video_clusters,n_brain_clusters
agglomerative_ward_K19,video.vjepa2,brain.swift,0.03911693270003817,0.004482825029945456,19,19
agglomerative_ward_K19,video.clip,brain.roi_mean,0.11004935514967029,0.02768801242241266,19,19
agglomerative_ward_K19,video.clip,brain.brain_jepa,0.06873462707651781,0.013497093790970997,19,19
agglomerative_ward_K19,video.clip,brain.swift,0.04009343344227663,0.004155073072289329,19,19
agglomerative_ward_K2,video.vjepa2,brain.roi_mean,0.00016828539884906958,0.00016304532841634204,2,2
agglomerative_ward_K2,video.vjepa2,brain.brain_jepa,4.217807024297027e-06,-8.095142885680188e-05,2,2
agglomerative_ward_K2,video.vjepa2,brain.swift,0.004206519315774421,0.021932910876202374,2,2
agglomerative_ward_K2,video.clip,brain.roi_mean,0.005252842838163925,0.007339274092158054,2,2
agglomerative_ward_K2,video.clip,brain.brain_jepa,0.0010772437917646047,0.0024487816643147145,2,2
agglomerative_ward_K2,video.clip,brain.swift,0.0065340632387747245,0.014007006771713806,2,2
agglomerative_ward_K20,video.vjepa2,brain.roi_mean,0.08993047033941654,0.0196325776312482,20,20
agglomerative_ward_K20,video.vjepa2,brain.brain_jepa,0.055290154910958636,0.011303908254228372,20,20
agglomerative_ward_K20,video.vjepa2,brain.swift,0.04190927962918909,0.004725302147730078,20,20
agglomerative_ward_K20,video.clip,brain.roi_mean,0.11394557106329947,0.031236709105531467,20,20
agglomerative_ward_K20,video.clip,brain.brain_jepa,0.07147351930943804,0.013754823094352385,20,20
agglomerative_ward_K20,video.clip,brain.swift,0.04189110940547345,0.0038900128514680493,20,20
agglomerative_ward_K21,video.vjepa2,brain.roi_mean,0.09204797978734493,0.018434916188597765,21,21
agglomerative_ward_K21,video.vjepa2,brain.brain_jepa,0.05912030923493857,0.01163983237799285,21,21
agglomerative_ward_K21,video.vjepa2,brain.swift,0.04316882002839242,0.0050205234873561206,21,21
agglomerative_ward_K21,video.clip,brain.roi_mean,0.11539872004472161,0.02892377011929228,21,21
agglomerative_ward_K21,video.clip,brain.brain_jepa,0.07630376666523632,0.013596218046455269,21,21
agglomerative_ward_K21,video.clip,brain.swift,0.04361189326410974,0.004113056529037147,21,21
agglomerative_ward_K22,video.vjepa2,brain.roi_mean,0.09671860469027907,0.01816818010908292,22,22
agglomerative_ward_K22,video.vjepa2,brain.brain_jepa,0.06325732606970796,0.01270727372779134,22,22
agglomerative_ward_K22,video.vjepa2,brain.swift,0.04619261025979419,0.00499192239909691,22,22
agglomerative_ward_K22,video.clip,brain.roi_mean,0.12051610761034658,0.027921136708969337,22,22
agglomerative_ward_K22,video.clip,brain.brain_jepa,0.07972952975052383,0.01297647731129108,22,22
agglomerative_ward_K22,video.clip,brain.swift,0.04776534798725332,0.004695320868054405,22,22
agglomerative_ward_K23,video.vjepa2,brain.roi_mean,0.10183867314225833,0.017162802261035517,23,23
agglomerative_ward_K23,video.vjepa2,brain.brain_jepa,0.06830527004103272,0.011686489210744475,23,23
agglomerative_ward_K23,video.vjepa2,brain.swift,0.048707909291648706,0.004852278424530949,23,23
agglomerative_ward_K23,video.clip,brain.roi_mean,0.12401075050502292,0.024623457322345513,23,23
agglomerative_ward_K23,video.clip,brain.brain_jepa,0.08476251004349074,0.01185586554284596,23,23
agglomerative_ward_K23,video.clip,brain.swift,0.05047331181503019,0.004664263301159207,23,23
agglomerative_ward_K24,video.vjepa2,brain.roi_mean,0.10810469346042342,0.017733258189304615,24,24
agglomerative_ward_K24,video.vjepa2,brain.brain_jepa,0.07110608245293643,0.008115848700676326,24,24
agglomerative_ward_K24,video.vjepa2,brain.swift,0.050626549096678956,0.0049018518529471145,24,24
agglomerative_ward_K24,video.clip,brain.roi_mean,0.13118685001806624,0.025690755644914715,24,24
agglomerative_ward_K24,video.clip,brain.brain_jepa,0.08791259851955394,0.011007281425508973,24,24
agglomerative_ward_K24,video.clip,brain.swift,0.05526793301390539,0.004831053617322036,24,24
agglomerative_ward_K25,video.vjepa2,brain.roi_mean,0.10998685082659039,0.015240416125059284,25,25
agglomerative_ward_K25,video.vjepa2,brain.brain_jepa,0.0732365443641704,0.006655570274813986,25,25
agglomerative_ward_K25,video.vjepa2,brain.swift,0.05371130286080535,0.0038385951401937292,25,25
agglomerative_ward_K25,video.clip,brain.roi_mean,0.13386182321257617,0.02555574887125721,25,25
agglomerative_ward_K25,video.clip,brain.brain_jepa,0.09054501505096291,0.01098696377993593,25,25
agglomerative_ward_K25,video.clip,brain.swift,0.058693997547888746,0.004965478598087253,25,25
agglomerative_ward_K26,video.vjepa2,brain.roi_mean,0.11378831986135843,0.015941975209495054,26,26
agglomerative_ward_K26,video.vjepa2,brain.brain_jepa,0.07716187617855835,0.00703313597814526,26,26
agglomerative_ward_K26,video.vjepa2,brain.swift,0.056505100216495005,0.003987141140009766,26,26
agglomerative_ward_K26,video.clip,brain.roi_mean,0.13848585526207882,0.027594582864876944,26,26
agglomerative_ward_K26,video.clip,brain.brain_jepa,0.09263286513606345,0.011582703565167647,26,26
agglomerative_ward_K26,video.clip,brain.swift,0.061649092438908155,0.004582144644807666,26,26
agglomerative_ward_K27,video.vjepa2,brain.roi_mean,0.11673868691286435,0.01621256682551359,27,27
agglomerative_ward_K27,video.vjepa2,brain.brain_jepa,0.0816952634953475,0.006773643366778375,27,27
agglomerative_ward_K27,video.vjepa2,brain.swift,0.06105927456893011,0.003980833225123366,27,27
agglomerative_ward_K27,video.clip,brain.roi_mean,0.1419057854794402,0.026796975428542796,27,27
agglomerative_ward_K27,video.clip,brain.brain_jepa,0.096578154495446,0.01049323803543658,27,27
agglomerative_ward_K27,video.clip,brain.swift,0.06521049776627251,0.004613101252015087,27,27
agglomerative_ward_K28,video.vjepa2,brain.roi_mean,0.12045900788627113,0.01578208708863655,28,28
agglomerative_ward_K28,video.vjepa2,brain.brain_jepa,0.08555155158209192,0.006834850189310106,28,28
agglomerative_ward_K28,video.vjepa2,brain.swift,0.06459755048001772,0.0037675131549987917,28,28
agglomerative_ward_K28,video.clip,brain.roi_mean,0.14659825047195255,0.026298850817567554,28,28
agglomerative_ward_K28,video.clip,brain.brain_jepa,0.10121687786725671,0.010882866077937571,28,28
agglomerative_ward_K28,video.clip,brain.swift,0.0688994923271625,0.004871745901971321,28,28
agglomerative_ward_K29,video.vjepa2,brain.roi_mean,0.1250023919902725,0.014800147710025201,29,29
agglomerative_ward_K29,video.vjepa2,brain.brain_jepa,0.08913927044072979,0.005936979238511494,29,29
agglomerative_ward_K29,video.vjepa2,brain.swift,0.07012648867286814,0.004199926740092691,29,29
agglomerative_ward_K29,video.clip,brain.roi_mean,0.14877179226979734,0.024004542697311233,29,29
agglomerative_ward_K29,video.clip,brain.brain_jepa,0.1042435288934207,0.010109233420166433,29,29
agglomerative_ward_K29,video.clip,brain.swift,0.07511191870650948,0.005313672560990214,29,29
agglomerative_ward_K3,video.vjepa2,brain.roi_mean,0.012317190530379399,0.007111437801329419,3,3
agglomerative_ward_K3,video.vjepa2,brain.brain_jepa,0.004030525955511278,-0.0020486019687608577,3,3
agglomerative_ward_K3,video.vjepa2,brain.swift,0.0036883863312183094,0.0098998961305623,3,3
agglomerative_ward_K3,video.clip,brain.roi_mean,0.02741316241643341,0.02820756402177099,3,3
agglomerative_ward_K3,video.clip,brain.brain_jepa,0.008986949294493268,0.00730896295747762,3,3
agglomerative_ward_K3,video.clip,brain.swift,0.006021435613842804,0.0006131923448473428,3,3
agglomerative_ward_K30,video.vjepa2,brain.roi_mean,0.1296473489019623,0.014994091990577031,30,30
agglomerative_ward_K30,video.vjepa2,brain.brain_jepa,0.09269514843742632,0.00577283763852088,30,30
agglomerative_ward_K30,video.vjepa2,brain.swift,0.07255652316134542,0.0029328085467456542,30,30
agglomerative_ward_K30,video.clip,brain.roi_mean,0.15345359253106178,0.024100784175153094,30,30
agglomerative_ward_K30,video.clip,brain.brain_jepa,0.10710667762343812,0.010062874161060914,30,30
agglomerative_ward_K30,video.clip,brain.swift,0.07743583382838319,0.004405013497427495,30,30
agglomerative_ward_K31,video.vjepa2,brain.roi_mean,0.13360754526141394,0.014738668350088871,31,31
agglomerative_ward_K31,video.vjepa2,brain.brain_jepa,0.09548770498373911,0.005511309096635276,31,31
agglomerative_ward_K31,video.vjepa2,brain.swift,0.07568970910300132,0.0016892648699221695,31,31
agglomerative_ward_K31,video.clip,brain.roi_mean,0.15903423828340119,0.02480984680234314,31,31
