map,cortical_mean,cortical_mean_ci_low,cortical_mean_ci_high,cortical_mean_t,cortical_mean_p,hierarchy_contrast_mean,hierarchy_ci_low,hierarchy_ci_high,hierarchy_t,hierarchy_p,gradient_r_mean,gradient_r_ci_low,gradient_r_ci_high,gradient_t,gradient_p
shared,0.04816629000745086,0.03833120801606732,0.0580013719988344,13.597350814551962,0.0001693691786462924,-0.0008856289444115088,-0.018278345212569734,0.016507087323746714,-0.14137528088320872,0.8944077451785114,-0.3430651566572291,-0.5261366333375991,-0.15999367997685912,-5.202894477264087,0.006503220371701158
unique_e34_shared,0.012743156759325889,0.005990037532035091,0.019496275986616688,5.2391604558405644,0.006343893902064278,0.007469357599664918,-6.636239637792998e-05,0.015005077595707766,2.7519946809928792,0.05126924909683598,0.21268884180526126,-0.03906689219572462,0.46444457580624715,2.345602558383409,0.07889353838023128
fine_grained_advantage,0.006925159999992804,0.0029426171765222246,0.010907702823463383,4.82790203067696,0.008474187909128888,0.005422921656564469,-0.0008987210422605561,0.011744564355389495,2.381729719086781,0.07584644675012207,0.05714398214988845,-0.24467240466327936,0.3589603689630563,0.5256743386494146,0.6269084290564041
unique_e34_video,0.009725946362901857,0.004545913319849554,0.014905979405954159,5.21300847856821,0.006458300288355767,0.0071381723656833065,0.00322676106357413,0.011049583667792483,5.066903527653197,0.007145892715048558,0.11715234470215437,-0.23961118506235524,0.47391587446666394,0.911716100088598,0.4134943107200815
