feature,method,task,task_type,main_metric,head,mode,subject,fold,seed,n_train,n_val,n_test,brain_model,best_lr,val_main,test_pearson_r,test_mae,test_mse,test_rmse,test_main
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,V_reg,regression,pearson_r,mlp_subj_emb,pooled,pool,1,0,6555,2185,2185,brain_jepa,0.0003,0.32454583048820496,0.31311073899269104,1.5555756092071533,3.5567684173583984,1.8859396642942738,0.31311073899269104
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,V_reg,regression,pearson_r,mlp_subj_emb,pooled,pool,1,1,6555,2185,2185,brain_jepa,0.003,0.3306137025356293,0.2828180193901062,1.5844913721084595,3.6181387901306152,1.9021405810640326,0.2828180193901062
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,V_reg,regression,pearson_r,mlp_subj_emb,pooled,pool,1,2,6555,2185,2185,brain_jepa,0.003,0.3295994997024536,0.3126829266548157,1.5504132509231567,3.5374960899353027,1.8808232479250417,0.3126829266548157
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,V_reg,regression,pearson_r,mlp_subj_emb,pooled,pool,2,0,6555,2185,2185,brain_jepa,0.0001,0.35885918140411377,0.31637802720069885,1.5606242418289185,3.5276119709014893,1.878193805468831,0.31637802720069885
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,V_reg,regression,pearson_r,mlp_subj_emb,pooled,pool,2,1,6555,2185,2185,brain_jepa,0.0003,0.36313748359680176,0.3277586102485657,1.5440669059753418,3.466096878051758,1.86174565342631,0.3277586102485657
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,V_reg,regression,pearson_r,mlp_subj_emb,pooled,pool,2,2,6555,2185,2185,brain_jepa,0.0003,0.3615417182445526,0.32036715745925903,1.5428918600082397,3.5099260807037354,1.8734796718149187,0.32036715745925903
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,V_reg,regression,pearson_r,mlp_subj_emb,pooled,pool,3,0,6555,2185,2185,brain_jepa,0.0001,0.31950128078460693,0.3435085117816925,1.5241984128952026,3.307292938232422,1.8185964198338294,0.3435085117816925
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,V_reg,regression,pearson_r,mlp_subj_emb,pooled,pool,3,1,6555,2185,2185,brain_jepa,0.0001,0.3394036293029785,0.3529256284236908,1.511521816253662,3.31170654296875,1.819809479854622,0.3529256284236908
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,V_reg,regression,pearson_r,mlp_subj_emb,pooled,pool,3,2,6555,2185,2185,brain_jepa,0.0001,0.3282862901687622,0.3456392288208008,1.5243539810180664,3.3050684928894043,1.8179847339538922,0.3456392288208008
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,V_reg,regression,pearson_r,mlp_subj_emb,pooled,pool,4,0,6555,2185,2185,brain_jepa,0.0001,0.33410316705703735,0.3091707229614258,1.5640405416488647,3.6461760997772217,1.9094962947796525,0.3091707229614258
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,V_reg,regression,pearson_r,mlp_subj_emb,pooled,pool,4,1,6555,2185,2185,brain_jepa,0.0001,0.32408440113067627,0.3227630853652954,1.558091640472412,3.5856993198394775,1.8935942859650474,0.3227630853652954
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,V_reg,regression,pearson_r,mlp_subj_emb,pooled,pool,4,2,6555,2185,2185,brain_jepa,0.0001,0.32736843824386597,0.30129727721214294,1.5655704736709595,3.6695477962493896,1.9156063782127553,0.30129727721214294
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,V_reg,regression,pearson_r,mlp_subj_emb,pooled,pool,5,0,6555,2185,2185,brain_jepa,0.0003,0.32681331038475037,0.3260432779788971,1.5509729385375977,3.508305072784424,1.873047002289164,0.3260432779788971
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,V_reg,regression,pearson_r,mlp_subj_emb,pooled,pool,5,1,6555,2185,2185,brain_jepa,0.0001,0.335750937461853,0.32740694284439087,1.5450968742370605,3.5132339000701904,1.874362264897101,0.32740694284439087
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,V_reg,regression,pearson_r,mlp_subj_emb,pooled,pool,5,2,6555,2185,2185,brain_jepa,0.0001,0.3363553285598755,0.33573096990585327,1.5296897888183594,3.4734625816345215,1.8637227748875425,0.33573096990585327
