subject,fold,component,heldout_correlation,train_singular_value,fold_empirical_p
1,1,1,0.7100091556561743,0.7686305344324723,0.009900990099009901
1,1,2,0.5360457397620109,0.6885312756550505,0.009900990099009901
1,1,3,0.5359229002507917,0.6452912883045936,0.009900990099009901
1,1,4,0.4726838280531803,0.6182738329783896,0.009900990099009901
1,1,5,0.3263505255662887,0.5782699172789157,0.009900990099009901
1,1,6,0.3378030128522153,0.5379967879384114,0.009900990099009901
1,1,7,0.16915285098113778,0.5162410318388108,0.009900990099009901
1,1,8,0.28203983918394143,0.5029829949222964,0.009900990099009901
1,1,9,0.18345172110391508,0.4731171368642649,0.009900990099009901
1,1,10,0.16769069977797252,0.46327245098136133,0.009900990099009901
1,1,11,0.12649361862875141,0.45189004728716525,0.009900990099009901
1,1,12,0.12045793705311389,0.44563267019355746,0.04950495049504951
1,1,13,0.13742611999390858,0.4294617920678909,0.009900990099009901
1,1,14,0.13233228259657828,0.42641635033069947,0.0297029702970297
1,1,15,0.09079230010488318,0.4212934535296556,0.0297029702970297
1,1,16,-0.003397639205348298,0.4045091531710677,0.5445544554455446
1,1,17,0.07370813225488525,0.3922839936454922,0.04950495049504951
1,1,18,0.19250624207692194,0.3896710515251928,0.009900990099009901
1,1,19,-0.03869948501481096,0.3803238363227288,0.6732673267326733
1,1,20,0.12052339187525636,0.3774129197072616,0.009900990099009901
1,2,1,0.7101621514090608,0.7676739485381949,0.009900990099009901
1,2,2,0.5782440687007011,0.6789708847915401,0.009900990099009901
1,2,3,0.53669831916177,0.6433948033988506,0.009900990099009901
1,2,4,0.3876180364343462,0.6115421939211398,0.009900990099009901
1,2,5,0.3427242958158915,0.5595069143991687,0.009900990099009901
1,2,6,0.28384186334895917,0.5460774421610124,0.009900990099009901
1,2,7,0.28787884228798255,0.5157782632879135,0.009900990099009901
1,2,8,0.22456056217517242,0.4971506891172196,0.009900990099009901
1,2,9,0.2186430613729016,0.47122859662421723,0.009900990099009901
1,2,10,0.16486493034060584,0.46379310771726545,0.009900990099009901
1,2,11,0.19124032185391052,0.45867118948802227,0.009900990099009901
1,2,12,0.17685633037404988,0.4402096897805466,0.009900990099009901
1,2,13,0.1321355071077248,0.4360849828178134,0.009900990099009901
1,2,14,0.18490063237942367,0.4315664567006886,0.009900990099009901
1,2,15,0.1067870937020822,0.41427945050275716,0.0297029702970297
1,2,16,0.08064695013132271,0.41285152580858836,0.0594059405940594
1,2,17,-0.05202904626570642,0.39879334473437067,0.8811881188118812
1,2,18,0.030887782494827338,0.3936142683691297,0.27722772277227725
1,2,19,0.05865677280924343,0.38294735310930184,0.09900990099009901
1,2,20,0.054307965786617333,0.3716270433470996,0.1188118811881188
1,3,1,0.6829687159458747,0.7734061281253903,0.009900990099009901
1,3,2,0.5918360846758587,0.6799149725675168,0.009900990099009901
1,3,3,0.5419266669622577,0.6458281155693563,0.009900990099009901
1,3,4,0.4791649586919137,0.6072323666639886,0.009900990099009901
1,3,5,0.35182903138844573,0.5713727584527954,0.009900990099009901
1,3,6,0.3035242856966814,0.532550276290836,0.009900990099009901
1,3,7,0.29567167822060625,0.5058272446721254,0.009900990099009901
1,3,8,0.2686787190040612,0.5025403356644778,0.009900990099009901
1,3,9,0.13600636086876078,0.47363072964662695,0.009900990099009901
1,3,10,0.21291775603460159,0.47016895294320715,0.009900990099009901
1,3,11,0.18420533647858028,0.4561208349547679,0.009900990099009901
1,3,12,0.15624011157325046,0.4464494310035564,0.009900990099009901
1,3,13,0.18100896823451365,0.43719977974187624,0.009900990099009901
1,3,14,0.09563657459696298,0.419129010780211,0.039603960396039604
1,3,15,0.07142503835511828,0.41389337848280205,0.12871287128712872
1,3,16,0.10574745712473084,0.40527697061965234,0.04950495049504951
1,3,17,-0.01956193430328808,0.39735977069776546,0.7227722772277227
1,3,18,0.10421905566339168,0.39257535077525085,0.019801980198019802
1,3,19,-0.027849442651967368,0.3903761458101157,0.6534653465346535
1,3,20,-0.04326333480637577,0.37913422101572075,0.8415841584158416
1,4,1,0.6616845395649413,0.778673808967393,0.009900990099009901
1,4,2,0.5549506061105541,0.6884635536587475,0.009900990099009901
1,4,3,0.48999439522622196,0.6551873564299125,0.009900990099009901
1,4,4,0.4694117639590135,0.6075737612312128,0.009900990099009901
1,4,5,0.3929117359079513,0.5705872759907206,0.009900990099009901
1,4,6,0.31392097997950996,0.5372000721705541,0.009900990099009901
1,4,7,0.22738021582540074,0.519188857910203,0.009900990099009901
1,4,8,0.15537246527836998,0.4912005196557496,0.009900990099009901
1,4,9,0.2407848748469948,0.4847611589114042,0.009900990099009901
1,4,10,0.10149639008431766,0.4727841990678118,0.039603960396039604
1,4,11,0.13711711827308096,0.4585696228169527,0.019801980198019802
1,4,12,0.30056010647552706,0.44304969071041567,0.009900990099009901
1,4,13,0.15896846839401413,0.4395172609025798,0.009900990099009901
1,4,14,0.1169887405251825,0.4234072435093068,0.0297029702970297
1,4,15,0.13612159784336816,0.410972937876487,0.009900990099009901
1,4,16,0.1532751668759931,0.4023449244175106,0.009900990099009901
1,4,17,0.09110440109682522,0.3969126542556221,0.06930693069306931
1,4,18,0.05621019891686433,0.3828032498896954,0.16831683168316833
1,4,19,-0.005114691715630752,0.3821238439366892,0.504950495049505
1,4,20,0.018250914958805344,0.3737034722123566,0.32673267326732675
1,5,1,0.6949472480464567,0.7714783283624927,0.009900990099009901
1,5,2,0.5314114931214777,0.6925396986409923,0.009900990099009901
1,5,3,0.5110754903394814,0.655310822487549,0.009900990099009901
1,5,4,0.40620033610332995,0.6215960182790026,0.009900990099009901
1,5,5,0.37007554177378355,0.5709392731260482,0.009900990099009901
1,5,6,0.35654559019590176,0.5445721847545436,0.009900990099009901
1,5,7,0.2993815554817647,0.5128848102706952,0.009900990099009901
1,5,8,0.25276125477497574,0.4842571796204828,0.009900990099009901
1,5,9,0.18129505875558283,0.4768126870584145,0.009900990099009901
1,5,10,0.21940318684735297,0.47130224897196377,0.009900990099009901
1,5,11,0.1402375846363513,0.4538933745570042,0.019801980198019802
1,5,12,0.1990327332556956,0.45040816361468117,0.009900990099009901
1,5,13,0.14533556010443147,0.44456134782249745,0.009900990099009901
1,5,14,0.13383305515303873,0.41886771991732774,0.009900990099009901
1,5,15,0.04299271959983602,0.4147146819637825,0.19801980198019803
1,5,16,0.12586059743205144,0.40616081083403704,0.009900990099009901
1,5,17,0.0620130482283869,0.39510437585203384,0.1782178217821782
1,5,18,0.044779264298109626,0.3914569943460016,0.19801980198019803
1,5,19,0.05566982904944182,0.3777971401320421,0.12871287128712872
1,5,20,0.16248038167468645,0.37674798221705563,0.009900990099009901
2,1,1,0.710013908785324,0.7708296230129045,0.009900990099009901
2,1,2,0.5172016651605353,0.6713607571827455,0.009900990099009901
2,1,3,0.5126701461451638,0.6406393869463588,0.009900990099009901
2,1,4,0.45635048266277933,0.6105414223489289,0.009900990099009901
2,1,5,0.3445285181291448,0.5916378045275189,0.009900990099009901
2,1,6,0.25221779317461207,0.5329556206960803,0.009900990099009901
2,1,7,0.3599089045536243,0.5247622213329257,0.009900990099009901
2,1,8,0.20579117401763067,0.5054558629016253,0.009900990099009901
2,1,9,0.22594462711172747,0.48554728797632346,0.009900990099009901
2,1,10,0.20066757376655867,0.4688355853560918,0.009900990099009901
2,1,11,0.17707700594070563,0.46243366895860505,0.009900990099009901
2,1,12,0.11087728650332918,0.4469055163238046,0.0297029702970297
2,1,13,0.14302049737002884,0.44577559119581317,0.009900990099009901
2,1,14,0.12635215960325735,0.4362627688046191,0.019801980198019802
2,1,15,0.07526885482341077,0.4195473628556472,0.0891089108910891
2,1,16,0.07473493079851751,0.40101193865338614,0.0891089108910891
2,1,17,0.015293764564243086,0.39007692325478066,0.36633663366336633
2,1,18,0.0890646411829473,0.3837544794412381,0.019801980198019802
2,1,19,0.14063273328483825,0.37560374342733355,0.009900990099009901
2,1,20,0.0730801927400166,0.36949858243839734,0.0891089108910891
2,2,1,0.7374811531448552,0.7650229582915801,0.009900990099009901
2,2,2,0.5586003268935198,0.6616133262730656,0.009900990099009901
2,2,3,0.5365048772328784,0.6393957820637302,0.009900990099009901
2,2,4,0.4550856431634203,0.5964556346114023,0.009900990099009901
2,2,5,0.43160007676188594,0.5672256033893792,0.009900990099009901
2,2,6,0.23509807243172579,0.540852707012008,0.009900990099009901
2,2,7,0.2895606021203226,0.5113256568866196,0.009900990099009901
2,2,8,0.2722305249549654,0.5056898446739819,0.009900990099009901
2,2,9,0.13376888195424994,0.4870957002360132,0.019801980198019802
2,2,10,0.2230467942526083,0.47305214299169457,0.009900990099009901
2,2,11,0.12136863212171084,0.4666214840792232,0.009900990099009901
2,2,12,0.24629242626435013,0.45266775614906196,0.009900990099009901
2,2,13,0.100143447358463,0.4428849474770946,0.019801980198019802
2,2,14,0.18900889659845685,0.4295291638548114,0.009900990099009901
2,2,15,0.12448959881896018,0.41293116454401885,0.009900990099009901
2,2,16,0.0444321430055216,0.4101634162636757,0.21782178217821782
2,2,17,0.14968112929282085,0.3954799388214564,0.009900990099009901
2,2,18,0.027664317982896758,0.3857514185437748,0.27722772277227725
2,2,19,0.16644657334497165,0.3771950314176348,0.009900990099009901
2,2,20,-0.0227397529297673,0.36894247984895695,0.5247524752475248
2,3,1,0.6840968056822161,0.7761311660802573,0.009900990099009901
2,3,2,0.5727239420473,0.660350302542424,0.009900990099009901
2,3,3,0.5238203366785242,0.6452461713832596,0.009900990099009901
2,3,4,0.45440701343092027,0.5991669384374247,0.009900990099009901
2,3,5,0.38853966573983884,0.587626011663465,0.009900990099009901
2,3,6,0.3021194254482708,0.5431097356652901,0.009900990099009901
2,3,7,0.2820268296084458,0.5201426262760349,0.009900990099009901
2,3,8,0.27243595479464144,0.5008629319092909,0.009900990099009901
2,3,9,0.1482660874959503,0.4902918428670624,0.009900990099009901
2,3,10,0.08047908393932714,0.4706742990094756,0.0594059405940594
2,3,11,0.21048310067217255,0.4639796781453341,0.009900990099009901
2,3,12,0.1822640187913593,0.4523476183937734,0.009900990099009901
2,3,13,0.03265446494265718,0.438683707472747,0.2871287128712871
2,3,14,0.2282749743862029,0.4327132465576804,0.009900990099009901
2,3,15,0.19137303353271234,0.4188786686766526,0.009900990099009901
2,3,16,0.048684047040625934,0.4105765805980442,0.19801980198019803
2,3,17,0.02187269592028921,0.39412629865637755,0.2871287128712871
2,3,18,0.06545257207788499,0.3857778096624624,0.10891089108910891
2,3,19,0.12230660802241435,0.38385815134068074,0.019801980198019802
2,3,20,0.07503886071243702,0.3815917635460633,0.07920792079207921
2,4,1,0.6636298230985153,0.7827024110352813,0.009900990099009901
2,4,2,0.5137500974749113,0.6698650120033655,0.009900990099009901
2,4,3,0.4834266564721251,0.6495272421481534,0.009900990099009901
2,4,4,0.45009332231394694,0.599851595007067,0.009900990099009901
2,4,5,0.41413918669418404,0.5843331852292754,0.009900990099009901
2,4,6,0.2955851637493127,0.5418695879586006,0.009900990099009901
2,4,7,0.2775819127463851,0.523266934972684,0.009900990099009901
2,4,8,0.18341257564282845,0.4973675347229141,0.009900990099009901
2,4,9,0.2554683512271685,0.4845309829409625,0.009900990099009901
