subject,map,visual,transmodal_cont_default,hypothesis_aligned_contrast
1,shared,0.030950639751770988,0.04473339127260392,-0.013782751520832935
2,shared,0.03722953649485574,0.05085958074012881,-0.013630044245273067
3,shared,0.043900347355383805,0.030587799076820073,0.013312548278563732
4,shared,0.03326457878713601,0.02420323129341806,0.009061347493717953
5,shared,0.024008013223960765,0.030418485173123816,-0.006410471949163051
1,unique_e34_shared,0.019634616655424375,0.01865690614702874,-0.0009777105083956343
2,unique_e34_shared,0.020224035828199607,0.03214875429341386,0.01192471846521425
3,unique_e34_shared,0.013065131951836197,0.02396476555221984,0.010899633600383641
4,unique_e34_shared,0.006432560569974376,0.0149013590288522,0.008468798458877824
5,unique_e34_shared,0.004313019292807527,0.010205986941141821,0.005892967648334294
1,fine_grained_advantage,0.008852654351552873,0.008420025420985659,-0.00043262893056721444
2,fine_grained_advantage,0.011698426086900356,0.020503784475395526,0.00880535838849517
3,fine_grained_advantage,0.009043056260850491,0.01879325358615204,0.009750197325301548
4,fine_grained_advantage,0.004637215564811883,0.0063335696367254595,0.0016963540719135764
5,fine_grained_advantage,0.001198204131488592,0.0059705825295421205,0.004772378398053528
1,unique_e34_video,0.010906455200479984,0.013008053846379005,0.0021015986458990214
2,unique_e34_video,0.01009000560573987,0.019352752903309386,0.009262747297569516
3,unique_e34_video,0.003576157754509179,0.013842801769082543,0.010266644014573363
4,unique_e34_video,-0.0003729698110048569,0.006686847295629677,0.007059817106634534
5,unique_e34_video,-0.0006483417176914457,0.006351713046048653,0.007000054763740098
