map,hierarchy_contrast_mean,hierarchy_ci_low,hierarchy_ci_high,hierarchy_t,hierarchy_p,gradient_r_mean,gradient_r_ci_low,gradient_r_ci_high,gradient_t,gradient_p
shared,-0.0022898743885974735,-0.018117448130596438,0.013537699353401489,-0.40168573158303233,0.7084515107173981,-0.29127208295051843,-0.5543851530568354,-0.028159012844201414,-3.0735871413075673,0.03716286479434235
unique_e34_shared,0.007241681532882875,0.0008439573609467649,0.013639405704818985,3.142700545542478,0.03475724278495948,0.06779401121257007,-0.20783219076814624,0.34342021319328636,0.682904416344399,0.5321686348559911
fine_grained_advantage,0.004918331850639322,-0.0005467928116737438,0.010383456512952388,2.4986581708945668,0.06686236437441213,-0.13734734592091197,-0.3902713022189354,0.11557661037711148,-1.5077154883845387,0.20611259658328962
unique_e34_video,0.0071381723656833065,0.00322676106357413,0.011049583667792483,5.066903527653197,0.007145892715048558,0.11715234470215437,-0.23961118506235524,0.47391587446666394,0.911716100088598,0.4134943107200815
