parcel,network,principal_gradient_1,shared,shared_sem_subject,unique_e34_shared,unique_e34_shared_sem_subject,unique_av_shared,unique_av_shared_sem_subject,fine_grained_advantage,fine_grained_advantage_sem_subject,video,video_sem_subject,unique_e34_video,unique_e34_video_sem_subject,unique_av_video,unique_av_video_sem_subject
1,Vis,-0.017235118199450884,0.05814381817236893,0.011155735241955029,0.023536908138572545,0.003587566787412894,0.004181269297244672,0.0022635508877940167,0.01935563884132787,0.005224374657271796,0.09063114606151942,0.016764388472630804,0.011253688179067179,0.002536736492087818,0.0013694634914514392,0.0010016272879896854
2,Vis,-0.018511418414182114,0.02782925142480408,0.008852184676751267,0.011126232634042643,0.004072450969569148,0.002967404297653986,0.0014634483966312808,0.008158828336388656,0.003057047622337813,0.07860959492501503,0.017895855266968297,0.0012952403720960515,0.0020725980511652783,0.001097668271443597,0.0009982053265660978
3,Vis,-0.018371022850534952,0.03393273098802181,0.008219890899700663,0.01747593700640564,0.001369881722622457,0.002711807657573395,0.0017891856684615394,0.014764129348832245,0.0023014940753439054,0.049581041174758124,0.011446014838660394,0.005456004571651807,0.0015843379103757627,0.0020389345225673592,0.0014124601323860402
4,Vis,-0.019903688608537085,0.006131827655777289,0.0026156276495477907,0.02163060260612202,0.003916619779833385,0.005122931723894175,0.0023562815444587715,0.01650767088222784,0.0022065401257320965,0.07009756890842656,0.01307365605930669,0.003396319136653725,0.0012128841719979452,0.0023961172980749845,0.0015086713646794698
5,Vis,-0.021493070462707032,0.011945449203696713,0.005884410238769753,0.014954130908566721,0.004031257007759438,0.0016680700239951828,0.0013563236282982402,0.013286060884571538,0.0050122476321248525,0.06066733601196128,0.0163400998357863,0.002642356666756296,0.002553061441048751,0.001115156939382822,0.0008127673814639545
6,Vis,-0.017075192016317832,0.06469285623402557,0.016208957277904293,0.02198421133997521,0.005566834481835538,0.005070854801116131,0.0015649769915435114,0.01691335653885908,0.0051343128835458765,0.09581107962391769,0.016527820913186757,0.007503742225474852,0.002238481685084371,0.0025520903824778783,0.0010442938222933239
7,Vis,-0.020514283244746443,0.030528132941419872,0.002117121455569057,0.016449326653032025,0.003224776446695303,0.004812429471711521,0.0016903058495336123,0.011636897181320504,0.0021605444614568137,0.10022246456415959,0.01768455660190932,0.0031443330165805694,0.0024621327495500016,0.0031206916376296913,0.0015121943145925527
8,Vis,-0.010642051151647855,0.1269876612147445,0.02427439632453839,0.015650834179812743,0.004545492981941773,0.006604687314913082,0.0021753848401811033,0.009046146864899662,0.004863580454317486,0.16015109106819495,0.02287525866249561,0.009012165087714385,0.0024001462220628435,0.002508791330983073,0.0008839818173881685
9,Vis,-0.019209059729914983,0.026352613838945292,0.003691584968259151,0.01927618319631661,0.003709309667850751,0.006120979201537513,0.0028656120952257314,0.013155203994779097,0.0029381993294978824,0.05377070335041993,0.009999447078294959,0.007946985502277615,0.0029409613773223055,0.0039050041326178287,0.0021531950025058992
10,Vis,-0.014458012747659234,0.09303112902518977,0.02282924358921675,0.015465752521684384,0.008854610725665292,0.007584235931192817,0.002161029483379981,0.007881516590491567,0.00865469372011825,0.11493906131396936,0.013759568428963122,0.006714548057469627,0.00346519156157785,0.003830917516760524,0.0014934449246317989
11,Vis,-0.017119962378103856,0.033865106581156844,0.005746859969756103,0.003935518241462721,0.005377467524621926,0.002642834983625364,0.0019181248466974255,0.0012926832578373571,0.003937208182796303,0.08032123696036446,0.008075213128865086,0.001886258468617008,0.0036646041895553078,0.0018608563385454247,0.0015148350853218355
12,Vis,-0.01570910742968123,0.07566309006808816,0.009307152722692443,0.014999446906858328,0.005259999944624073,0.007810102188901991,0.0013826515597704903,0.007189344717956336,0.005893855283436869,0.09850745614428622,0.006324666707152698,0.006001961393691135,0.00192065703430878,0.0030092528242712914,0.00107890550477565
13,Vis,-0.014755162941932704,0.0579300755182248,0.021748735436189687,0.007760177139495017,0.005999433601882433,0.003707698993564823,0.0018575987528197393,0.004052478145930194,0.005175847057112992,0.08781003939986247,0.03128495920425728,0.003254720249066012,0.004378345690344169,0.0024515930712756483,0.0015759367151520042
