map,cortical_mean,cortical_ci_low,cortical_ci_high,cortical_p,transmodal_minus_visual,hierarchy_ci_low,hierarchy_ci_high,hierarchy_p,gradient_r,gradient_ci_low,gradient_ci_high,gradient_p,cortical_q_fdr,hierarchy_q_fdr,gradient_q_fdr
video,0.05565393530446949,0.039614433607479405,0.07169343700145958,0.000649239736069959,-0.016588172705116068,-0.04113458778698409,0.007958242376751953,0.13385423978869043,-0.48245101531884577,-0.6209637315687571,-0.34393829906893447,0.0006397330735545566,0.003462611925706448,0.16474367973992668,0.004145986453876345
content,0.029262184542237273,0.012990876561295519,0.04553349252317902,0.007526917462485808,-0.00520463555020577,-0.01960390686532911,0.00919463576491757,0.3723796801724187,-0.41561348508428175,-0.5501152630254814,-0.2811117071430821,0.0010139152401852586,0.009263898415367148,0.42557677733990706,0.004145986453876345
video_content,0.058996537087006175,0.04203353074995382,0.07595954342405853,0.0006433844634941783,-0.020671935138042434,-0.04516186375916678,0.003817993483081917,0.07906681110078032,-0.4769605310033187,-0.612935218847271,-0.3409858431593664,0.0006225468238031522,0.003462611925706448,0.1150062706920441,0.004145986453876345
unique_video_given_content,0.0297343525447689,0.027314635015918638,0.03215407007361916,4.40287559406786e-06,-0.015467299587836663,-0.027930772337753495,-0.003003826837919832,0.02615949214900137,-0.3793860086625541,-0.6399227170502237,-0.11884930027488455,0.015565656774538712,7.044600950508576e-05,0.04650576382044688,0.03557864405608848
unique_content_given_video,0.003342601782536675,0.002294722573657165,0.004390480991416185,0.0008975572339089044,-0.004083762432926374,-0.0055265741592248376,-0.0026409507066279102,0.0014167888150744968,0.06128618303864397,-0.15218478327165103,0.27475714934893897,0.4700297438789841,0.0035902289356356176,0.02266862104119195,0.5013650601375831
commonality_video_content,0.025919582759700598,0.010628974244840267,0.04121019127456093,0.009264094232523215,-0.0011208731172793938,-0.01598474680457324,0.013743000570014452,0.844390558885968,-0.4232239701498134,-0.5609793002378066,-0.28546864006182016,0.0010364966134690863,0.009881700514691429,0.8778768157525153,0.004145986453876345
unique_av_vc,0.0005485980293224535,0.00023103638073542388,0.0008661596779094831,0.008670925107362355,0.00017506706985384756,-6.103533225116571e-05,0.00041116947195886085,0.10861252820483162,0.34457795361221005,0.21920038660555613,0.469955520618864,0.0015840380381241135,0.009881700514691429,0.14481670427310883,0.005068921721997163
unique_e2_vc,0.00036504747423768565,0.00020656657787461485,0.0005235283706007565,0.0030692687913969063,0.00016693900207290425,4.373344823854961e-05,0.0002901445559072589,0.019740982977793448,0.3351231320195751,0.11186004225399773,0.5583862217851525,0.014059477745445699,0.005012970896754263,0.039481965955586895,0.03557864405608848
unique_e34_vc,0.0012629104745536307,0.0007879115461935583,0.001737909402913703,0.0017952584463841548,0.0007511181324855908,0.0003260581721883268,0.0011761780927828547,0.008008129927381069,0.26564146025912655,-0.11570623522206075,0.6469891557403138,0.12523330931901935,0.0047873558570244125,0.03098257367399447,0.20037329491043096
matched_2d_vs_av,-0.00018355055508476777,-0.00037456312861530814,7.462018445772596e-06,0.055923370912351146,-8.128067780943234e-06,-0.00014595180968694248,0.00012969567412505603,0.8778768157525153,-0.12699956874730467,-0.32157608185185593,0.06757694435724662,0.14418170055069068,0.055923370912351146,0.8778768157525153,0.20274547317251382
fine_grained_vs_av,0.0007143124452311772,0.00038179096445553954,0.0010468339260068147,0.003968415404450547,0.0005760510626317433,0.00021486031482893325,0.0009372418104345533,0.011439191704849267,0.12370157313483213,-0.35997086995370675,0.6073740162233711,0.5168541324851277,0.0052912205392673965,0.03098257367399447,0.5168541324851277
resolution_34d_vs_2d,0.000897863000315945,0.0004956405682987781,0.0013000854323331119,0.0034464174915185557,0.0005841791304126866,0.00015936182871655302,0.0010089964321088201,0.018810954209813456,0.15972519828248927,-0.2948872372472143,0.6143376338121929,0.38455467683029565,0.005012970896754263,0.039481965955586895,0.4394910592346236
unique_e3_vc,0.00043696327215171524,0.00027664839691478977,0.0005972781473886407,0.0016344548467641484,0.0001949287370585211,7.22555814720709e-05,0.0003176018926449713,0.011584440197903962,0.269812536328352,0.046310264070456464,0.49331480858624754,0.0285229170577147,0.0047873558570244125,0.03098257367399447,0.0570458341154294
unique_e5_vc,0.0005639436457397704,0.0003192030999642332,0.0008086841915153076,0.0030651547142431313,0.00023271874925611413,8.937538403822862e-05,0.00037606211447399965,0.01075999933979226,0.20329822061387884,-0.0687616603111206,0.47535810153887825,0.10665923844257333,0.005012970896754263,0.03098257367399447,0.18961642389790814
unique_e10_vc,0.0010680305405016187,0.0006010621745450569,0.0015349989064581805,0.003150770399393972,0.0005025443222146048,7.548098203863092e-05,0.0009296076623905786,0.03087149689838553,0.20262002887518044,-0.1158421126977715,0.5210821704481323,0.15205910487938537,0.005012970896754263,0.04939439503741685,0.20274547317251382
unique_e20_vc,0.0011845486473811026,0.0006970486969104931,0.0016720485978517121,0.0025165243761246293,0.000613846127023063,0.00022720782861499888,0.0010004844254311272,0.011618465127747927,0.1870496315601972,-0.17216892772731726,0.5462681908477116,0.22177968402319978,0.005012970896754263,0.03098257367399447,0.2729596111054767
