parcel,network,principal_gradient_1,video,video_sem,content,content_sem,video_content,video_content_sem,unique_video_given_content,unique_video_given_content_sem,unique_content_given_video,unique_content_given_video_sem,commonality_video_content,commonality_video_content_sem,unique_av_vc,unique_av_vc_sem,unique_e2_vc,unique_e2_vc_sem,unique_e34_vc,unique_e34_vc_sem,matched_2d_vs_av,matched_2d_vs_av_sem,fine_grained_vs_av,fine_grained_vs_av_sem,resolution_34d_vs_2d,resolution_34d_vs_2d_sem,unique_e3_vc,unique_e3_vc_sem,unique_e5_vc,unique_e5_vc_sem,unique_e10_vc,unique_e10_vc_sem,unique_e20_vc,unique_e20_vc_sem
1,Vis,-0.017235118199450884,0.10345458025841851,0.017687119542055776,0.0732744065098309,0.020323212544987826,0.10957509751932074,0.018557340925790446,0.03630069100948983,0.004398404355406,0.006120517260902214,0.00250979874081852,0.06715388924892869,0.019303689474284527,0.00016508444807397104,8.593462950012995e-05,0.00019466277516067,0.00010657230943854623,0.0008758596475319403,0.00019038843592247213,2.957832708669894e-05,0.00011736067408216734,0.0007107751994579692,0.00023254217678274445,0.0006811968723712703,0.00015637100469537585,0.00029064602817339134,0.0001390810070294839,0.0003479776053222361,0.00012306926828633413,0.0009628925989256576,0.0001119378234216439,0.0010428374135199147,0.00018070145097719552
2,Vis,-0.018511418414182114,0.09098236740206955,0.01823451436318799,0.04898482293829496,0.01282455250966053,0.10502935852555753,0.01821168820768557,0.056044535587262564,0.006054644887272876,0.014046991123487973,0.0020841477353033817,0.03493783181480699,0.012549176407541227,0.00016391302737546188,0.00011218830773682913,6.811047093830957e-05,9.056882266726183e-05,0.00024159112683610484,0.00020420220125247812,-9.58025564371523e-05,0.00012903197086196416,7.767809946064297e-05,0.0002153424608023152,0.00017348065589779528,0.0001629805250911108,5.0789571178166956e-05,9.108351232608079e-05,5.153812740543717e-05,7.515337028659218e-05,0.00033385213954797435,0.00010118707550833773,0.0003094391004726749,0.00016000021917434115
3,Vis,-0.018371022850534952,0.06094392569433218,0.013042555828851162,0.0367748624467624,0.010798547501760144,0.06592068876132477,0.01292545082858161,0.029145826314562372,0.004585018009114234,0.004976763066992596,0.00219692524402048,0.03179809937976981,0.011377067873033159,0.0003083326772765016,0.00017555425345951785,0.00012699965848927963,5.235512912868421e-05,0.00046671729841725186,8.73445648105285e-05,-0.00018133301878722196,0.00015132689819902202,0.00015838462114075024,0.00014831926307725784,0.0003397176399279722,7.910519053130751e-05,0.00027381597346298747,8.473086412551475e-05,0.0003744004309925053,9.390119653475141e-05,0.0006346725357712302,0.00011596526619712191,0.0007801329958669889,8.393885078562935e-05
4,Vis,-0.019903688608537085,0.07737986146247011,0.012941521109149123,0.024660139831900695,0.004464786743148443,0.07460871768908865,0.01167737541228986,0.04994857785718796,0.0072377195321289495,-0.002771143773381457,0.0019070427600410805,0.02743128360528215,0.005792967796043489,0.0003865177454765112,0.00020376795778525585,0.00014388021650386663,6.661506703023504e-05,0.000562758712213518,0.00017153568163397193,-0.00024263752897264458,0.0001416283235484357,0.00017624096673700683,0.0002301714857633636,0.0004188784957096514,0.00017525405220082912,0.00014730242307237074,7.065835997793655e-05,0.00022899792165307354,8.040751252246276e-05,0.0005567251469170475,0.0001319878550622363,0.0006954125113603383,0.00013136525025587135
5,Vis,-0.021493070462707032,0.07039827574101656,0.017110078236086398,0.045867273217376735,0.015438044695686815,0.07897227026586721,0.02000532875224879,0.03310499704849048,0.004843593293373187,0.00857399452485066,0.0037782638579011148,0.03729327869252608,0.01262644766027701,0.00014525040433579494,8.801629823922465e-05,0.0001319311718518845,2.476683971497033e-05,0.00046029965565275166,0.00019165495710198562,-1.3319232483910426e-05,6.824417072932913e-05,0.0003150492513169567,0.00021732923043895938,0.00032836848380086715,0.00018979273990008303,0.00019250923636318084,5.96299131084329e-05,0.00018557660236260265,8.449087811049186e-05,0.00025793437270147377,6.904301192544984e-05,0.00043551647908590674,0.00013638891332651512
6,Vis,-0.017075192016317832,0.10915361138727346,0.018362287653163036,0.06629979400097281,0.009914807117405002,0.11496704136660993,0.015944957665415274,0.04866724736563712,0.008449393832826897,0.005813429979336471,0.0028938974756546987,0.06048636402163634,0.011789355944522439,0.00039570604937400056,0.00015082090686663452,8.589403891396951e-05,3.688007794517552e-05,0.0005117853567361275,0.00014821542826059261,-0.00030981201046003103,0.00011711117740531843,0.0001160793073621269,0.00022792074254592438,0.00042589131782215793,0.0001691130819711411,0.00023535038467985546,9.040274098895918e-05,0.000334667621060869,0.00012692633697173437,0.0006016106409380218,8.59059971821638e-05,0.0007404626805262993,0.00013585020440758314
7,Vis,-0.020514283244746443,0.10887490606581093,0.017049876232772668,0.05591578541289246,0.008269109851773787,0.10935052953733063,0.01621660543731179,0.05343474412443816,0.009142932362180112,0.00047562347151968164,0.00238679776016367,0.05544016194137278,0.009372621252299543,0.00038396380510197226,0.00016465495328644994,0.0001995381765592663,9.271703701936252e-05,0.0004834654753947731,0.00026573048514322154,-0.00018442562854270594,9.268879675997796e-05,9.950167029280089e-05,0.00019568053686604885,0.0002839272988355068,0.0002062706583848343,0.000234404694857826,0.00011851770881684195,0.0002444859272800359,0.00013464162714467098,0.0006093286376116502,0.0002603950995614872,0.0005754709639189448,0.0002644331318601994
8,Vis,-0.010642051151647855,0.1830779607555883,0.025100446683910215,0.10788011968619896,0.01759109542627594,0.1838205350563095,0.02412397103452024,0.07594041537011054,0.01585892047612512,0.0007425743007211993,0.0028458857583883233,0.10713754538547775,0.01676685488421674,0.0004560775307809184,0.00014613973773206456,8.248123422573971e-05,0.00010378317370147889,0.0005108534056470937,5.9498482427553606e-05,-0.00037359629655517865,0.00016957201509442985,5.47758748661753e-05,0.00013326237522425256,0.000428372171421354,6.862880053050073e-05,0.00016148586314257418,0.00016582398923936794,0.00040233188585101496,0.00011097610951936268,0.0006754711913348421,8.765114816171158e-05,0.0006970187493406721,6.241997207243935e-05
9,Vis,-0.019209059729914983,0.06391280651321878,0.010114079940317239,0.018447077576196548,0.009027188349369409,0.0638450320467556,0.009202816952845236,0.045397954470559054,0.0034530632924456173,-6.777446646317742e-05,0.0021257580140742987,0.018514852042659725,0.009592788971963685,0.00048109928746284945,0.00021816913472567047,0.00023585771244587493,9.920837100071416e-05,0.0007984502262399884,0.00016073795024462486,-0.0002452415750169745,0.00013735135323311183,0.0003173509387771389,0.00018822083379442796,0.0005625925137941135,9.235232279789205e-05,0.000286288401059176,0.00012514667711794748,0.0003644339966209165,0.0001466287869710751,0.0007624319664194523,0.00014807511000450367,0.0008772565940764921,0.00013152619600768233
10,Vis,-0.014458012747659234,0.1316698553377295,0.015531670343968513,0.08105318049805636,0.009643390418395886,0.13288568359715186,0.014050754642235277,0.051832503099095505,0.008294297834235704,0.001215828259422369,0.0020260150089314415,0.079837352238634,0.010315720959787023,0.00035301361258404106,9.909370591683312e-05,0.00015534408186306247,0.00010361034828254567,0.0005910811790592829,0.0002721444783389819,-0.0001976695307209786,9.757701031709313e-05,0.00023806756647524186,0.000249703084537405,0.0004357370971962204,0.00018899377140434685,0.0001607691750919793,0.00012936605260101735,0.00028610807776889845,0.00017881785081514718,0.0008816928226453635,0.00022628227528421102,0.000712692224078082,0.00016970052252763946
