source,setting,emotion_idx,K,top1_cluster_count,top1_cluster_pct,top3_cluster_pct,entropy,null_mean,p_perm
voxel__sub-01,kmeans_K15,0,15,14,0.12844036697247707,0.3119266055045872,2.60946049572413,2.642012596130371,0.10459
voxel__sub-01,kmeans_K15,1,15,15,0.13761467889908258,0.3577981651376147,2.5431149362633,2.642012596130371,0.00164
voxel__sub-01,kmeans_K15,2,15,18,0.1651376146788991,0.42201834862385323,2.502533632352826,2.642012596130371,7e-05
voxel__sub-01,kmeans_K15,3,15,16,0.14678899082568808,0.3669724770642202,2.526631296230716,2.642012596130371,0.00056
voxel__sub-01,kmeans_K15,4,15,22,0.2018348623853211,0.41284403669724773,2.4495444211881217,2.642012596130371,0.0
voxel__sub-01,kmeans_K15,5,15,13,0.11926605504587157,0.3486238532110092,2.5358159762845105,2.642012596130371,0.00106
voxel__sub-01,kmeans_K15,6,15,16,0.14678899082568808,0.3577981651376147,2.6096159910820136,2.642012596130371,0.10542
voxel__sub-01,kmeans_K15,7,15,16,0.14678899082568808,0.3394495412844037,2.560309720523846,2.642012596130371,0.00577
voxel__sub-01,kmeans_K15,8,15,15,0.13761467889908258,0.3486238532110092,2.5425730243706903,2.642012596130371,0.00161
voxel__sub-01,kmeans_K15,9,15,15,0.13761467889908258,0.3944954128440367,2.5544494685201498,2.642012596130371,0.00389
voxel__sub-01,kmeans_K15,10,15,14,0.12844036697247707,0.3577981651376147,2.606232485482675,2.642012596130371,0.08782
voxel__sub-01,kmeans_K15,11,15,16,0.14678899082568808,0.3577981651376147,2.593735288708991,2.642012596130371,0.04385
voxel__sub-01,kmeans_K15,12,15,17,0.1559633027522936,0.3486238532110092,2.540836498143002,2.642012596130371,0.00145
voxel__sub-01,kmeans_K15,13,15,19,0.1743119266055046,0.3853211009174312,2.532062434023073,2.642012596130371,0.00082
voxel__sub-01,kmeans_K15,14,15,23,0.21100917431192662,0.45871559633027525,2.4050562578288646,2.642012596130371,0.0
voxel__sub-01,kmeans_K15,15,15,22,0.2018348623853211,0.45871559633027525,2.379003253178349,2.642012596130371,0.0
voxel__sub-01,kmeans_K15,16,15,19,0.1743119266055046,0.45871559633027525,2.493273641729634,2.642012596130371,5e-05
voxel__sub-01,kmeans_K15,17,15,19,0.1743119266055046,0.3853211009174312,2.5782645480238737,2.642012596130371,0.01731
voxel__sub-01,kmeans_K15,18,15,14,0.12844036697247707,0.3302752293577982,2.5866439365055083,2.642012596130371,0.02888
voxel__sub-01,kmeans_K15,19,15,12,0.11009174311926606,0.3211009174311927,2.556055748733389,2.642012596130371,0.00435
voxel__sub-01,kmeans_K15,20,15,14,0.12844036697247707,0.3486238532110092,2.5674164082254394,2.642012596130371,0.00882
voxel__sub-01,kmeans_K15,21,15,21,0.1926605504587156,0.45871559633027525,2.442053875503749,2.642012596130371,0.0
voxel__sub-01,kmeans_K15,22,15,15,0.13761467889908258,0.3577981651376147,2.5521027885444827,2.642012596130371,0.0033
voxel__sub-01,kmeans_K15,23,15,19,0.1743119266055046,0.3669724770642202,2.535372549423813,2.642012596130371,0.00102
voxel__sub-01,kmeans_K15,24,15,16,0.14678899082568808,0.3669724770642202,2.5023605944018437,2.642012596130371,7e-05
voxel__sub-01,kmeans_K15,25,15,13,0.11926605504587157,0.3119266055045872,2.5998750259978163,2.642012596130371,0.0619
voxel__sub-01,kmeans_K15,26,15,22,0.2018348623853211,0.45871559633027525,2.3759209100621197,2.642012596130371,0.0
voxel__sub-01,kmeans_K15,27,15,25,0.22935779816513763,0.5688073394495413,2.3446932777760856,2.642012596130371,0.0
voxel__sub-01,kmeans_K15,28,15,15,0.13761467889908258,0.3761467889908257,2.505698215508181,2.642012596130371,8e-05
voxel__sub-01,kmeans_K15,29,15,13,0.11926605504587157,0.3211009174311927,2.633634297221277,2.642012596130371,0.32701
voxel__sub-01,kmeans_K15,30,15,34,0.3119266055045872,0.5412844036697247,2.2287198358121185,2.642012596130371,0.0
voxel__sub-01,kmeans_K15,31,15,17,0.1559633027522936,0.3761467889908257,2.5204466808692554,2.642012596130371,0.00033
voxel__sub-01,kmeans_K15,32,15,16,0.14678899082568808,0.3761467889908257,2.4592501323838087,2.642012596130371,0.0
voxel__sub-01,kmeans_K15,33,15,16,0.14678899082568808,0.3577981651376147,2.593171348558017,2.642012596130371,0.04224
voxel__sub-01,kmeans_K27,0,27,9,0.08256880733944955,0.23853211009174313,3.070254881399298,3.1689705848693848,0.00907
voxel__sub-01,kmeans_K27,1,27,10,0.09174311926605505,0.24770642201834864,3.0763693839830912,3.1689705848693848,0.01261
voxel__sub-01,kmeans_K27,2,27,16,0.14678899082568808,0.3302752293577982,2.9414143274935025,3.1689705848693848,0.0
voxel__sub-01,kmeans_K27,3,27,11,0.10091743119266056,0.28440366972477066,2.9972615854313904,3.1689705848693848,0.00012
voxel__sub-01,kmeans_K27,4,27,17,0.1559633027522936,0.3302752293577982,2.8969795173189214,3.1689705848693848,0.0
voxel__sub-01,kmeans_K27,5,27,10,0.09174311926605505,0.24770642201834864,3.033781969130035,3.1689705848693848,0.00108
voxel__sub-01,kmeans_K27,6,27,10,0.09174311926605505,0.26605504587155965,3.1404930525984467,3.1689705848693848,0.204
voxel__sub-01,kmeans_K27,7,27,12,0.11009174311926606,0.25688073394495414,3.082559219058622,3.1689705848693848,0.01735
voxel__sub-01,kmeans_K27,8,27,10,0.09174311926605505,0.22935779816513763,3.1080672977374584,3.1689705848693848,0.05768
voxel__sub-01,kmeans_K27,9,27,12,0.11009174311926606,0.30275229357798167,2.971384905182489,3.1689705848693848,1e-05
voxel__sub-01,kmeans_K27,10,27,8,0.07339449541284404,0.21100917431192662,3.1853361137385354,3.1689705848693848,0.64935
voxel__sub-01,kmeans_K27,11,27,11,0.10091743119266056,0.25688073394495414,3.0919072463224637,3.1689705848693848,0.02737
voxel__sub-01,kmeans_K27,12,27,11,0.10091743119266056,0.25688073394495414,3.009420521163914,3.1689705848693848,0.00029
voxel__sub-01,kmeans_K27,13,27,16,0.14678899082568808,0.3211009174311927,2.953821540341521,3.1689705848693848,1e-05
voxel__sub-01,kmeans_K27,14,27,15,0.13761467889908258,0.3761467889908257,2.8037028308484406,3.1689705848693848,0.0
voxel__sub-01,kmeans_K27,15,27,12,0.11009174311926606,0.30275229357798167,2.8497131354978533,3.1689705848693848,0.0
voxel__sub-01,kmeans_K27,16,27,12,0.11009174311926606,0.27522935779816515,2.9531206038615077,3.1689705848693848,1e-05
voxel__sub-01,kmeans_K27,17,27,14,0.12844036697247707,0.29357798165137616,3.00407921734836,3.1689705848693848,0.00022
voxel__sub-01,kmeans_K27,18,27,12,0.11009174311926606,0.26605504587155965,3.032098940963304,3.1689705848693848,0.00103
voxel__sub-01,kmeans_K27,19,27,11,0.10091743119266056,0.26605504587155965,2.975431012827793,3.1689705848693848,1e-05
voxel__sub-01,kmeans_K27,20,27,11,0.10091743119266056,0.28440366972477066,2.9774425743033897,3.1689705848693848,2e-05
voxel__sub-01,kmeans_K27,21,27,15,0.13761467889908258,0.3577981651376147,2.86680607334303,3.1689705848693848,0.0
voxel__sub-01,kmeans_K27,22,27,12,0.11009174311926606,0.29357798165137616,2.9930700758592845,3.1689705848693848,9e-05
voxel__sub-01,kmeans_K27,23,27,11,0.10091743119266056,0.24770642201834864,3.017338376369008,3.1689705848693848,0.00045
voxel__sub-01,kmeans_K27,24,27,12,0.11009174311926606,0.27522935779816515,2.9602042345314112,3.1689705848693848,1e-05
voxel__sub-01,kmeans_K27,25,27,10,0.09174311926605505,0.23853211009174313,3.10998992505036,3.1689705848693848,0.06269
voxel__sub-01,kmeans_K27,26,27,16,0.14678899082568808,0.3119266055045872,2.959568125419432,3.1689705848693848,1e-05
voxel__sub-01,kmeans_K27,27,27,19,0.1743119266055046,0.3761467889908257,2.744642590985546,3.1689705848693848,0.0
voxel__sub-01,kmeans_K27,28,27,11,0.10091743119266056,0.24770642201834864,3.0578113545577725,3.1689705848693848,0.00443
voxel__sub-01,kmeans_K27,29,27,10,0.09174311926605505,0.23853211009174313,3.074299939281633,3.1689705848693848,0.01113
voxel__sub-01,kmeans_K27,30,27,27,0.24770642201834864,0.45871559633027525,2.6222541251068763,3.1689705848693848,0.0
voxel__sub-01,kmeans_K27,31,27,13,0.11926605504587157,0.3211009174311927,2.9618004852191455,3.1689705848693848,1e-05
voxel__sub-01,kmeans_K27,32,27,10,0.09174311926605505,0.25688073394495414,3.0336975929701864,3.1689705848693848,0.00108
voxel__sub-01,kmeans_K27,33,27,10,0.09174311926605505,0.22018348623853212,3.101556285187856,3.1689705848693848,0.04295
voxel__sub-01,kmeans_K50,0,50,8,0.07339449541284404,0.21100917431192662,3.4090960488219175,3.6574621200561523,2e-05
voxel__sub-01,kmeans_K50,1,50,7,0.06422018348623854,0.1834862385321101,3.494740621459636,3.6574621200561523,0.0014
voxel__sub-01,kmeans_K50,2,50,8,0.07339449541284404,0.22018348623853212,3.359741622770184,3.6574621200561523,0.0
voxel__sub-01,kmeans_K50,3,50,8,0.07339449541284404,0.1926605504587156,3.5258788083567314,3.6574621200561523,0.00668
voxel__sub-01,kmeans_K50,4,50,13,0.11926605504587157,0.29357798165137616,3.3794655441486467,3.6574621200561523,0.0
voxel__sub-01,kmeans_K50,5,50,9,0.08256880733944955,0.22935779816513763,3.433955466480787,3.6574621200561523,5e-05
voxel__sub-01,kmeans_K50,6,50,9,0.08256880733944955,0.1926605504587156,3.487741366949582,3.6574621200561523,0.001
voxel__sub-01,kmeans_K50,7,50,9,0.08256880733944955,0.21100917431192662,3.4804585710934957,3.6574621200561523,0.00069
voxel__sub-01,kmeans_K50,8,50,7,0.06422018348623854,0.1651376146788991,3.4654047374208723,3.6574621200561523,0.0003
voxel__sub-01,kmeans_K50,9,50,10,0.09174311926605505,0.23853211009174313,3.3367030069984915,3.6574621200561523,0.0
voxel__sub-01,kmeans_K50,10,50,8,0.07339449541284404,0.1743119266055046,3.539662523331338,3.6574621200561523,0.0126
voxel__sub-01,kmeans_K50,11,50,7,0.06422018348623854,0.1926605504587156,3.4054464511424216,3.6574621200561523,1e-05
voxel__sub-01,kmeans_K50,12,50,7,0.06422018348623854,0.1926605504587156,3.466084788732713,3.6574621200561523,0.00034
