subject,map,spearman_r
1,video,-0.3549127182044888
2,video,-0.38517371983574894
3,video,-0.6217216357602235
4,video,-0.5029400183751148
5,video,-0.5475069844186525
1,content,-0.33681473009206303
2,content,-0.2641413383833649
3,content,-0.5000442502765642
4,content,-0.49168882305514405
5,content,-0.48537828361427254
1,video_content,-0.35970131063319144
2,video_content,-0.375514596966231
3,video_content,-0.610264376652354
4,video_content,-0.48421971387321167
5,video_content,-0.5551026568916055
1,unique_video_given_content,-0.08374046087788048
2,unique_video_given_content,-0.44875180469877934
3,unique_video_given_content,-0.6026814542590891
4,unique_video_given_content,-0.25043837773986083
5,unique_video_given_content,-0.5113179457371607
1,unique_content_given_video,-0.05249995312470703
2,unique_content_given_video,0.13572891080569252
3,unique_content_given_video,0.1175472971706073
4,unique_content_given_video,0.27240995256220346
5,unique_content_given_video,-0.16675529222057636
1,commonality_video_content,-0.3348804680029249
2,commonality_video_content,-0.2770725442034012
3,commonality_video_content,-0.5139523372021075
4,commonality_video_content,-0.5225256407852549
5,commonality_video_content,-0.46768886055537845
1,unique_av_vc,0.27661447884049273
2,unique_av_vc,0.37655185344908404
3,unique_av_vc,0.32714660716629473
4,unique_av_vc,0.500540190876193
5,unique_av_vc,0.24203663772898582
1,unique_e2_vc,0.3922427015168844
2,unique_e2_vc,0.4508002550015937
3,unique_e2_vc,0.08231432696454352
4,unique_e2_vc,0.5260742879642997
5,unique_e2_vc,0.22418408865055406
1,unique_e34_vc,0.5202767517296982
2,unique_e34_vc,0.5653945962162263
3,unique_e34_vc,0.2919348245926537
4,unique_e34_vc,0.13859205370033562
5,unique_e34_vc,-0.1879909249432809
1,matched_2d_vs_av,0.007588172426077662
2,matched_2d_vs_av,-0.023104831905199404
3,matched_2d_vs_av,-0.3716239476496728
4,matched_2d_vs_av,-0.1927017043856524
5,matched_2d_vs_av,-0.055155532222076385
1,fine_grained_vs_av,0.47051394071212943
2,fine_grained_vs_av,0.5250019687623048
3,fine_grained_vs_av,0.1334667091669323
4,fine_grained_vs_av,-0.11676972981081131
5,fine_grained_vs_av,-0.39370502315639466
1,resolution_34d_vs_2d,0.4375292970581066
2,resolution_34d_vs_2d,0.5071499821873886
3,resolution_34d_vs_2d,0.28589278682991764
4,resolution_34d_vs_2d,-0.07435077719235744
5,resolution_34d_vs_2d,-0.35759529747060914
1,unique_e3_vc,0.32515721973262335
2,unique_e3_vc,0.38096000600003743
3,unique_e3_vc,-0.015541222132638328
4,unique_e3_vc,0.44259145369658554
5,unique_e3_vc,0.21589522434515215
1,unique_e5_vc,0.25968556053475333
2,unique_e5_vc,0.5134854592841205
3,unique_e5_vc,0.04836123975774848
4,unique_e5_vc,0.24953012206326286
5,unique_e5_vc,-0.05457127857049106
1,unique_e10_vc,0.3636465227907674
2,unique_e10_vc,0.527420171376071
3,unique_e10_vc,0.16130482065512908
4,unique_e10_vc,0.10526709541934635
5,unique_e10_vc,-0.14453846586541166
1,unique_e20_vc,0.39050550315939475
2,unique_e20_vc,0.5388299926874542
3,unique_e20_vc,0.16243845274032961
4,unique_e20_vc,0.04059981624885155
5,unique_e20_vc,-0.19712560703504395
