subject,map,cortical_mean,transmodal_minus_visual,gradient_spearman_r
1,video,0.05421956108063753,-0.0023760353221254013,-0.3549127182044888
2,video,0.07512463400218637,-0.005796490481350572,-0.38517371983574894
3,video,0.06010939583301074,-0.044054336664188204,-0.6217216357602235
4,video,0.04700764988383346,-0.03096759467140988,-0.5029400183751148
5,video,0.041808435722679366,0.0002535936134937314,-0.5475069844186525
1,content,0.030503377841829035,0.001555355617940974,-0.33681473009206303
2,content,0.048631015359973745,0.004464500912587939,-0.2641413383833649
3,content,0.031607147637498646,-0.016589838123602214,-0.5000442502765642
4,content,0.022326076530070998,-0.019049266904379174,-0.49168882305514405
5,content,0.013243305341813949,0.0035960707464236285,-0.48537828361427254
1,video_content,0.057848155327612644,-0.005493048162628376,-0.35970131063319144
2,video_content,0.07953550354875369,-0.011870229973264021,-0.375514596966231
3,video_content,0.06340552536178314,-0.04811985307631948,-0.610264376652354
4,video_content,0.05031626840371932,-0.0345714715482003,-0.48421971387321167
5,video_content,0.043877232793162066,-0.0033050729297999792,-0.5551026568916055
1,unique_video_given_content,0.02734477748578362,-0.007048403780569347,-0.08374046087788048
2,unique_video_given_content,0.030904488188779933,-0.016334730885851984,-0.44875180469877934
3,unique_video_given_content,0.03179837772428449,-0.03153001495271729,-0.6026814542590891
4,unique_video_given_content,0.027990191873648325,-0.015522204643821109,-0.25043837773986083
5,unique_video_given_content,0.03063392745134812,-0.006901143676223596,-0.5113179457371607
1,unique_content_given_video,0.00362859424697512,-0.0031170128405029643,-0.05249995312470703
2,unique_content_given_video,0.004410869546567312,-0.006073739491913487,0.13572891080569252
3,unique_content_given_video,0.003296129528772388,-0.004065516412131305,0.1175472971706073
4,unique_content_given_video,0.0033086185198858533,-0.003603876876790416,0.27240995256220346
5,unique_content_given_video,0.002068797070482703,-0.0035586665432936954,-0.16675529222057636
1,commonality_video_content,0.026874783594853912,0.004672368458443949,-0.3348804680029249
2,commonality_video_content,0.04422014581340644,0.010538240404501437,-0.2770725442034012
3,commonality_video_content,0.028311018108726257,-0.012524321711470911,-0.5139523372021075
4,commonality_video_content,0.019017458010185142,-0.015445390027588764,-0.5225256407852549
5,commonality_video_content,0.011174508271331245,0.007154737289717322,-0.46768886055537845
1,unique_av_vc,0.0008787014570677454,-7.482951333285495e-05,0.27661447884049273
2,unique_av_vc,0.0007675679257668919,0.00024740914862675693,0.37655185344908404
3,unique_av_vc,0.00036396698111894473,0.00013730017824248542,0.32714660716629473
4,unique_av_vc,0.0004123577112119897,0.0004444967585467232,0.500540190876193
5,unique_av_vc,0.00032039607144669554,0.00012095877718612704,0.24203663772898582
1,unique_e2_vc,0.00045060396661766313,6.7151028695214e-05,0.3922427015168844
2,unique_e2_vc,0.000537605537259025,0.00014378790632910913,0.4508002550015937
3,unique_e2_vc,0.0002263086695946137,0.000111678806224797,0.08231432696454352
4,unique_e2_vc,0.00033446069819082657,0.0003266025569395934,0.5260742879642997
5,unique_e2_vc,0.0002762584995263001,0.00018547471217580775,0.22418408865055406
1,unique_e34_vc,0.0014794898139789997,0.0003053268705874284,0.5202767517296982
2,unique_e34_vc,0.0016780880713647708,0.000978434976290172,0.5653945962162263
3,unique_e34_vc,0.0014447111499900508,0.0011547247634836031,0.2919348245926537
4,unique_e34_vc,0.0008886153971086113,0.0007969783907325716,0.13859205370033562
5,unique_e34_vc,0.0008236479403257204,0.000520125661334179,-0.1879909249432809
1,matched_2d_vs_av,-0.0004280974904500823,0.00014198054202806907,0.007588172426077662
2,matched_2d_vs_av,-0.00022996238850786694,-0.0001036212422976478,-0.023104831905199404
3,matched_2d_vs_av,-0.000137658311524331,-2.56213720176884e-05,-0.3716239476496728
4,matched_2d_vs_av,-7.789701302116314e-05,-0.0001178942016071298,-0.1927017043856524
5,matched_2d_vs_av,-4.4137571920395416e-05,6.451593498968076e-05,-0.055155532222076385
1,fine_grained_vs_av,0.0006007883569112543,0.00038015638392028335,0.47051394071212943
2,fine_grained_vs_av,0.000910520145597879,0.0007310258276634149,0.5250019687623048
