task,brain_only_max_mean,joint_max_mean,brain_only_mean_mean,joint_mean_mean,delta_max_joint_minus_brainonly
A_binary,0.6644599353003984,0.8024841983067885,0.6572060343955768,0.7598287283770352,0.13802426300639015
A_reg,0.22963679730892178,0.4241291058925938,0.22726380601525303,0.3321946930706872,0.194492308583672
V_binary,0.7235222018735448,0.9717549238208625,0.7204960041831744,0.9155849209482252,0.2482327219473177
V_reg,0.3254467229048411,0.7628392486846984,0.32354519367218015,0.6208455323382374,0.4373925257798573
