feature,dir_prefix,padding,init,task,task_type,main_metric,head,mode,subject,fold,seed,n_train,n_val,n_test,brain_model,brain_init,brain_padding,video,best_lr,val_main,test_macro_auroc,test_macro_f1,test_micro_f1,test_main
Phase2_D,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,trained,pooled,pool,1,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,C=0.01,0.8225367840960547,0.855635839523932,0.5241074099968357,0.5907246674541626,0.855635839523932
Phase2_D,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,trained,pooled,pool,2,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,C=0.01,0.8120444971034676,0.8249413064364618,0.476021017134667,0.556492062671286,0.8249413064364618
Phase2_D,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,trained,pooled,pool,3,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,C=0.01,0.8476129080639528,0.81723226748179,0.45040444455321277,0.5583268783888459,0.81723226748179
Phase2_D,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,trained,pooled,pool,4,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,C=0.01,0.8389043474546882,0.8431572390944582,0.482112350612498,0.5705332374396384,0.8431572390944582
Phase2_D,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,trained,pooled,pool,5,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,C=0.01,0.8470319997067298,0.8330986615578044,0.45918538034250533,0.5562284640284014,0.8330986615578044
